player_id,player,club,team_id,position,position_label,league_key,league,fotmob_league_id,season_id,season,age,nationality,height_cm,market_value_m,minutes,rating,goals_total,assists_total,goals90,assists90,xg_total,xg90,xa_total,xa90,xgot90,shots90,shots_on_target90,passes90,key_pass90,chances_created90,big_chances_created90,big_chances_missed,long_balls90,dribbles90,defensive_actions90,tackles90,interceptions90,clearances90,blocks90,recoveries90,high_press_wins90,clean_sheets,save_pct,saves90,goals_prevented90,goals_conceded90,fouls90,yellow_cards,red_cards
1652014,Santiago Beltrán,River Plate,10076,GK,GK,arg_a,Liga Profesional Argentina,112,1000000477,2026,21.0,Argentina,190.0,1.252664,2685.0,6.91,,,,,,,0.0,0.0,,,,13.9,,,,,,,0.5,0.1,,0.5,,7.8,,10.0,69.9,2.2,0.0670391061452514,0.9,,,
424153,Brayan Cortés,Argentinos Juniors,10086,GK,GK,arg_a,Liga Profesional Argentina,112,1000000477,2026,31.0,Chile,186.0,1.15572,2670.0,7.03,,,,,,,0.1,0.0,,,,29.0,0.033707865168539325,0.033707865168539325,,,,0.0,0.8,0.0,,0.7,,7.9,,13.0,72.6,2.1,0.043820224719101124,0.8,,5.0,
643566,Thiago Cardozo,Belgrano,10092,GK,GK,arg_a,Liga Profesional Argentina,112,1000000477,2026,30.0,Uruguay,181.0,1.889323,2640.0,7.39,,,,,,,0.2,0.01,,,,16.7,0.06818181818181818,0.06818181818181818,,,,,1.0,0.1,,0.8,,9.3,,14.0,79.8,3.0,0.31022727272727274,0.8,0.0,1.0,
638771,Lucas Martínez Quarta,River Plate,10076,CB,CB,arg_a,Liga Profesional Argentina,112,1000000477,2026,30.0,Argentina,183.0,2.665633,2629.0,7.34,2.0,1.0,0.07,0.034233548877900345,3.3,0.11,0.6,0.02,0.13693419551160138,1.1,0.3,54.0,0.20540129326740206,0.20540129326740206,0.034233548877900345,6.0,4.7,0.5,8.0,1.8,1.5,4.3,0.4,4.7,,,,,,,1.0,8.0,
920404,Francisco Álvarez,Argentinos Juniors,10086,CB,CB,arg_a,Liga Profesional Argentina,112,1000000477,2026,26.0,Argentina,180.0,2.749985,2574.0,7.53,3.0,,0.1,,1.7,0.06,0.5,0.02,0.07342657342657342,1.1,0.3,62.8,0.3146853146853147,0.3146853146853147,,2.0,4.2,0.1,10.7,1.6,2.1,6.6,0.4,4.2,,,,,,,0.7,8.0,
723492,Facundo Cambeses,Racing Club,10080,GK,GK,arg_a,Liga Profesional Argentina,112,1000000477,2026,29.0,Argentina,186.0,2.732432,2550.0,6.92,,,,,,,0.2,0.01,,,,19.1,0.10588235294117647,0.10588235294117647,0.03529411764705882,,,,1.4,,,1.4,,8.2,,8.0,70.5,2.8,-0.021176470588235293,1.2,,2.0,
1273509,Matías Mansilla,Unión,10096,GK,GK,arg_a,Liga Profesional Argentina,112,1000000477,2026,30.0,Argentina,,1.334483,2520.0,6.8,,,,,,,0.2,0.01,,,,10.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,,,,0.5,,,0.5,,8.2,,5.0,68.8,3.1,-0.11071428571428571,1.4,,2.0,
146801,Hernán Galindez,Huracán,10081,GK,GK,arg_a,Liga Profesional Argentina,112,1000000477,2026,39.0,Ecuador,189.0,0.9955,2490.0,7.19,,,,,,,0.1,0.0,,,,17.5,0.03614457831325301,0.03614457831325301,,,,0.0,0.5,0.1,,0.5,,6.9,,10.0,76.2,2.8,0.23132530120481928,0.9,,,
443465,Rodrigo Rey,Independiente,10078,GK,GK,arg_a,Liga Profesional Argentina,112,1000000477,2026,35.0,Argentina,190.0,0.630788,2430.0,6.82,,,,,,,0.0,0.0,,,,16.7,,,,,,,0.7,0.1,,0.6,,8.8,,8.0,67.7,2.4,-0.05185185185185184,1.1,,2.0,
723677,Pedro Silva Torrejón,Gimnasia LP,10103,FB,LB,arg_a,Liga Profesional Argentina,112,1000000477,2026,29.0,Argentina,178.0,0.715205,2389.0,7.07,1.0,3.0,0.04,0.11301799916282963,1.8,0.07,3.0,0.11,0.04143993302637087,0.7,0.2,22.3,0.7534533277521975,0.7534533277521975,0.26370866471326915,3.0,1.0,0.5,6.3,1.8,1.1,2.9,0.4,3.9,,,,,,,0.5,1.0,
