team_id,team,league_key,league,season_id,season,rating_team,goals_team_match,goals_conceded_team_match,possession_percentage_team,clean_sheet_team,expected_goals_team,_xg_diff_team,ontarget_scoring_att_team,big_chance_team,accurate_pass_team,accurate_long_balls_team,accurate_cross_team,touches_in_opp_box_team,expected_goals_conceded_team,interception_team,total_tackle_team,effective_clearance_team,poss_won_att_3rd_team
10077,Boca Juniors,arg_a,Liga Profesional Argentina,1000000477,2026,7.09,1.4,0.9,59.8,12.0,41.7,18.0,4.6,71.0,426.7,27.6,5.0,614.0,23.7,9.7,19.0,23.1,
10079,Vélez Sarsfield,arg_a,Liga Profesional Argentina,1000000477,2026,7.06,1.2,0.8,53.7,10.0,31.5,1.0,4.2,54.0,339.4,27.3,4.4,518.0,30.5,9.2,18.5,28.2,
10084,Rosario Central,arg_a,Liga Profesional Argentina,1000000477,2026,7.01,1.2,0.9,56.4,9.0,42.4,11.1,4.7,71.0,361.4,27.5,5.1,670.0,31.4,10.7,17.5,25.3,
10076,River Plate,arg_a,Liga Profesional Argentina,1000000477,2026,7.0,1.4,1.0,65.0,10.0,49.7,23.7,5.3,84.0,447.8,32.0,4.4,728.0,26.1,9.8,17.6,18.8,
10086,Argentinos Juniors,arg_a,Liga Profesional Argentina,1000000477,2026,7.0,1.2,0.8,62.4,13.0,38.1,12.2,4.9,57.0,445.1,34.8,5.8,630.0,25.9,11.0,17.0,24.1,
161729,Independiente Rivadavia,arg_a,Liga Profesional Argentina,1000000477,2026,6.97,1.6,1.1,48.7,7.0,36.9,10.4,5.2,68.0,258.7,26.2,5.9,556.0,26.5,9.7,16.3,25.4,
10094,Estudiantes,arg_a,Liga Profesional Argentina,1000000477,2026,6.96,1.1,0.7,55.7,12.0,35.9,8.8,5.1,67.0,353.1,30.6,6.1,546.0,27.1,8.1,17.3,25.9,
10081,Huracán,arg_a,Liga Profesional Argentina,1000000477,2026,6.95,1.1,0.9,51.7,11.0,31.1,-4.4,3.8,42.0,296.4,25.9,3.6,477.0,35.5,9.4,19.3,30.6,
10092,Belgrano,arg_a,Liga Profesional Argentina,1000000477,2026,6.95,1.2,0.8,51.8,14.0,35.8,0.0,4.0,59.0,324.2,26.3,4.2,655.0,35.8,9.8,19.2,24.7,
10096,Unión,arg_a,Liga Profesional Argentina,1000000477,2026,6.93,1.5,1.4,49.1,5.0,40.2,10.5,4.9,65.0,274.6,28.5,6.2,638.0,29.6,8.9,17.0,23.4,
