player_id,player,club,league,nationality,age,position,foot,height_cm,matches,minutes,market_value_m,performance_score,goals90,assists90,xg90,xa90,prog_pass90,prog_carry90,key_pass90,passes_final_third90,tackles90,interceptions90,recoveries90,duel_win_pct,aerial_win_pct,dribbles90,shots90,pressures90,turnovers90
1,Bruno Díaz,Athletico-PR,Brasil Série A,Brasil,28,W,Direito,175,19,1613,4.09,62.4,0.21,0.12,0.24,0.14,5.66,3.52,1.67,5.93,0.9,0.99,1.95,43.7,45.5,1.7,2.17,6.06,4.02
2,Diego Vieira,Fortaleza,Brasil Série A,Colômbia,30,CB,Esquerdo,183,29,2419,2.31,58.1,0.02,0.01,0.02,0.01,2.93,1.37,0.18,2.99,1.98,1.47,2.87,52.9,52.5,0.28,0.56,7.51,3.46
3,Rodrigo Ramírez,Bahia,Brasil Série A,Chile,18,CM,Direito,175,12,820,3.16,58.8,0.16,0.04,0.18,0.04,4.29,3.0,1.06,3.57,0.78,0.96,1.68,42.4,38.5,0.29,0.85,4.91,3.98
4,Tomás Pereira,Flamengo,Brasil Série A,Equador,24,CB,Direito,177,32,2494,1.61,54.0,0.04,0.07,0.05,0.06,2.91,1.59,0.36,1.34,1.19,0.92,2.61,53.4,47.1,0.0,0.71,6.51,3.5
5,Pedro Silva,Flamengo,Brasil Série A,Argentina,30,FB,Esquerdo,180,28,1984,1.91,52.6,0.07,0.04,0.07,0.05,4.21,1.79,0.28,3.06,1.03,1.11,2.3,48.9,50.7,0.0,0.2,2.97,3.16
6,Enzo Gómez,Fortaleza,Brasil Série A,Brasil,33,CM,Esquerdo,181,25,2228,1.17,55.6,0.0,0.11,0.0,0.11,3.34,2.4,1.1,3.83,0.85,0.4,0.71,45.3,43.7,1.61,0.69,5.98,3.27
7,Caio Rodríguez,Flamengo,Brasil Série A,Chile,21,FB,Direito,174,41,2975,1.99,61.6,0.11,0.07,0.09,0.06,3.21,1.97,0.86,4.78,1.5,1.07,2.91,55.6,47.2,0.42,1.03,7.27,4.32
8,Martín Gómez,Bahia,Brasil Série A,Uruguai,19,CM,Esquerdo,176,33,2357,2.53,58.6,0.14,0.09,0.14,0.07,4.09,3.4,0.88,4.24,0.22,0.7,1.27,42.5,39.7,0.58,0.99,2.66,3.58
9,Rodrigo Díaz,Palmeiras,Brasil Série A,Brasil,25,ST,Direito,177,6,515,1.92,56.5,0.24,0.08,0.23,0.1,4.72,1.68,0.57,2.2,0.32,0.49,1.72,42.1,47.6,0.14,1.71,3.0,3.98
10,João Vieira,Botafogo,Brasil Série A,Brasil,25,W,Direito,188,44,2991,2.73,62.6,0.24,0.2,0.22,0.16,5.01,3.32,0.97,4.25,0.16,0.42,1.06,46.7,39.4,1.83,1.72,4.72,4.34
11,Thiago Santos,Flamengo,Brasil Série A,Argentina,28,FB,Direito,184,26,1963,2.37,58.6,0.03,0.13,0.03,0.16,2.39,2.92,0.8,2.55,1.05,1.0,2.33,47.9,44.3,0.4,0.6,7.77,1.86
12,Facundo Souza,Athletico-PR,Brasil Série A,Brasil,20,DM,Esquerdo,179,24,1788,4.93,65.4,0.03,0.07,0.03,0.09,5.27,3.43,0.84,4.67,1.9,1.57,3.14,52.4,45.3,0.94,0.06,8.75,3.11
13,Tomás Costa,Botafogo,Brasil Série A,Uruguai,20,ST,Direito,184,32,2572,4.63,66.9,0.29,0.05,0.26,0.05,3.18,2.58,1.0,3.84,0.1,0.53,1.15,47.0,60.4,0.32,1.76,6.0,3.35
14,Pedro Silva,Athletico-PR,Brasil Série A,Brasil,30,W,Direito,165,29,2131,3.01,54.8,0.23,0.15,0.28,0.15,4.59,4.11,0.94,3.94,0.75,0.76,1.3,51.3,46.7,2.11,1.64,8.26,4.0
15,Lucas Silva,Flamengo,Brasil Série A,Uruguai,33,FB,Esquerdo,168,22,1665,2.32,64.2,0.15,0.13,0.12,0.16,4.56,2.82,1.06,4.51,1.72,1.49,3.31,53.8,43.9,0.64,0.82,8.91,3.16
16,Matías Almeida,Athletico-PR,Brasil Série A,Brasil,18,W,Direito,171,13,1098,3.8,64.4,0.24,0.18,0.28,0.14,4.01,3.93,1.11,3.82,0.45,0.1,0.72,44.4,46.3,2.49,0.91,5.18,3.5
17,Rodrigo Costa,Flamengo,Brasil Série A,Brasil,27,ST,Direito,177,20,1665,2.44,60.6,0.28,0.09,0.35,0.08,2.18,2.67,0.5,3.85,0.61,0.33,1.11,52.6,60.1,1.14,1.67,5.8,3.79
18,Bruno Torres,Botafogo,Brasil Série A,Argentina,24,GK,Direito,193,16,1241,2.09,54.8,0.0,0.03,0.0,0.04,2.23,1.5,0.07,2.67,1.88,1.74,5.87,56.1,62.1,0.07,0.33,9.08,2.78
19,Nicolás Silva,Athletico-PR,Brasil Série A,Argentina,31,W,Direito,170,8,597,2.66,62.9,0.26,0.2,0.29,0.15,3.83,2.77,1.65,5.62,0.54,0.18,0.4,44.4,55.2,2.18,1.48,6.22,3.19
20,Rodrigo Castro,Botafogo,Brasil Série A,Uruguai,21,W,Direito,172,37,2888,1.42,58.1,0.26,0.1,0.25,0.1,5.01,2.75,0.97,5.02,0.42,0.16,0.77,47.0,33.7,1.68,0.97,5.55,2.69
21,Diego Costa,Bahia,Brasil Série A,Argentina,27,W,Direito,175,8,603,2.34,64.0,0.33,0.18,0.32,0.21,6.88,3.81,1.3,4.67,0.48,0.29,1.06,46.6,45.1,2.1,1.5,7.19,4.57
22,Rafael Benítez,Bahia,Brasil Série A,Paraguai,22,AM,Direito,166,21,1843,2.38,60.7,0.37,0.21,0.44,0.23,4.87,3.86,1.51,6.75,1.6,0.35,1.2,48.1,53.1,1.41,1.94,8.92,3.03
23,Pedro Ramírez,Fortaleza,Brasil Série A,Brasil,19,DM,Esquerdo,186,38,2553,3.29,59.7,0.04,0.1,0.04,0.07,2.46,2.71,0.36,3.33,0.99,1.26,2.34,45.5,50.7,0.5,0.19,8.65,2.96
24,Martín López,Flamengo,Brasil Série A,Brasil,18,CB,Direito,188,21,1549,6.78,62.5,0.06,0.01,0.06,0.01,4.4,2.44,0.86,3.77,2.65,2.62,7.24,61.0,61.9,0.24,0.69,10.6,3.15
25,Pedro Vieira,Fortaleza,Brasil Série A,Argentina,22,GK,Direito,196,20,1651,4.44,67.6,0.0,0.0,0.01,0.0,1.88,1.1,0.0,0.8,2.49,1.63,2.87,58.6,56.6,0.0,0.05,10.61,3.09
26,Juan Vieira,Flamengo,Brasil Série A,Colômbia,30,AM,Direito,177,13,1127,2.04,58.0,0.18,0.17,0.14,0.19,3.88,3.0,1.12,5.32,0.1,0.22,0.66,36.2,37.9,0.88,1.16,5.78,3.88
27,Gabriel Fernández,Fortaleza,Brasil Série A,Brasil,21,DM,Esquerdo,180,23,1554,2.9,57.8,0.04,0.11,0.04,0.1,3.53,3.59,0.78,3.12,2.06,1.91,2.6,48.1,46.2,1.27,0.67,10.23,2.54
28,Lucas Gómez,Fortaleza,Brasil Série A,Brasil,18,CB,Direito,189,38,2613,3.46,57.4,0.07,0.07,0.07,0.08,2.14,1.66,0.63,2.36,0.69,0.38,1.57,45.6,39.6,1.11,0.75,5.13,2.5
29,Matías Díaz,Bahia,Brasil Série A,Uruguai,31,GK,Direito,186,7,529,1.93,55.8,0.0,0.0,0.0,0.0,2.87,1.14,0.46,1.85,1.89,1.08,3.68,52.7,45.0,0.0,0.07,10.0,3.42
30,Pedro Oliveira,Flamengo,Brasil Série A,Equador,26,CM,Direito,178,9,799,1.98,59.6,0.07,0.11,0.06,0.13,3.1,1.41,0.33,3.36,0.79,0.86,1.91,45.3,36.1,0.37,0.55,2.98,3.22
31,Rodrigo Martínez,Athletico-PR,Brasil Série A,Equador,23,CB,Direito,187,43,2998,4.93,60.4,0.01,0.0,0.01,0.0,3.99,2.58,0.89,1.21,2.77,2.44,4.3,55.7,55.4,0.0,0.28,13.07,4.16
32,Miguel Almeida,Palmeiras,Brasil Série A,Brasil,29,CM,Direito,180,26,1964,2.26,62.8,0.16,0.15,0.14,0.14,5.67,3.88,1.47,5.5,0.83,1.34,2.27,45.0,47.6,1.25,0.84,8.75,2.76
33,Facundo Rojas,Fortaleza,Brasil Série A,Brasil,28,AM,Direito,176,26,1763,3.74,61.7,0.22,0.16,0.26,0.19,5.2,2.44,1.03,4.27,0.77,0.86,1.0,35.9,34.7,1.08,1.19,3.99,4.05
